216.10.243.159,443,IN,PDR
138.2.49.197,587,JP,Oracle Corporation
131.186.24.124,587,KR,Oracle Corporation
146.235.18.248,45137,SG,Oracle Corporation
118.27.12.40,38443,JP,Gmo Internet, Inc.
158.101.146.3,44872,JP,Oracle Corporation
146.56.140.79,22561,KR,Oracle Corporation
138.2.10.217,27446,JP,Oracle Corporation
146.56.99.255,56789,KR,Oracle Corporation
13.250.131.37,443,SG,Amazon.com, Inc.
138.2.74.219,28616,SG,Oracle Corporation
168.138.171.70,23280,SG,Oracle Corporation
5.34.176.119,81,SG,GREEN FLOID LLC
141.147.152.229,23333,JP,Oracle Corporation
217.142.230.253,587,JP,Oracle Corporation
146.56.140.79,20309,KR,Oracle Corporation
36.95.152.58,12137,ID,PT. Telekomunikasi Indonesia
158.101.146.3,54516,JP,Oracle Corporation
138.3.222.124,46209,JP,Oracle Corporation
43.133.10.236,33405,JP,Shenzhen Tencent Computer Systems Company Limited
